"Date","Parsha","Aliyah","Reading","Verses"
08-Nov-2008,"Lech-Lecha",3,"Genesis 13:5 - 13:18",14
08-Nov-2008,"Lech-Lecha",4,"Genesis 14:1 - 14:20",20
08-Nov-2008,"Lech-Lecha",5,"Genesis 14:21 - 15:6",10
08-Nov-2008,"Lech-Lecha",6,"Genesis 15:7 - 17:6",37
08-Nov-2008,"Lech-Lecha",7,"Genesis 17:7 - 17:27",21
08-Nov-2008,"Lech-Lecha","maf","Genesis 17:24 - 17:27",4
08-Nov-2008,"Lech-Lecha","Haftara","Isaiah 40:27 - 41:16",

15-Nov-2008,"Vayera",1,"Genesis 18:1 - 18:14",14
15-Nov-2008,"Vayera",2,"Genesis 18:15 - 18:33",19
15-Nov-2008,"Vayera",3,"Genesis 19:1 - 19:20",20
15-Nov-2008,"Vayera",4,"Genesis 19:21 - 21:4",40
15-Nov-2008,"Vayera",5,"Genesis 21:5 - 21:21",17
15-Nov-2008,"Vayera",6,"Genesis 21:22 - 21:34",13
15-Nov-2008,"Vayera",7,"Genesis 22:1 - 22:24",24
15-Nov-2008,"Vayera","maf","Genesis 22:20 - 22:24",5
15-Nov-2008,"Vayera","Haftara","II Kings 4:1 - 4:37",

22-Nov-2008,"Chayei Sara",1,"Genesis 23:1 - 23:16",16
22-Nov-2008,"Chayei Sara",2,"Genesis 23:17 - 24:9",13
22-Nov-2008,"Chayei Sara",3,"Genesis 24:10 - 24:26",17
22-Nov-2008,"Chayei Sara",4,"Genesis 24:27 - 24:52",26
22-Nov-2008,"Chayei Sara",5,"Genesis 24:53 - 24:67",15
22-Nov-2008,"Chayei Sara",6,"Genesis 25:1 - 25:11",11
22-Nov-2008,"Chayei Sara",7,"Genesis 25:12 - 25:18",7
22-Nov-2008,"Chayei Sara","maf","Genesis 25:16 - 25:18",3
22-Nov-2008,"Chayei Sara","Haftara","I Kings 1:1 - 1:31",

29-Nov-2008,"Toldot",1,"Genesis 25:19 - 26:5",21
29-Nov-2008,"Toldot",2,"Genesis 26:6 - 26:12",7
29-Nov-2008,"Toldot",3,"Genesis 26:13 - 26:22",10
29-Nov-2008,"Toldot",4,"Genesis 26:23 - 26:29",7
29-Nov-2008,"Toldot",5,"Genesis 26:30 - 27:27",33
29-Nov-2008,"Toldot",6,"Genesis 27:28 - 28:4",23
29-Nov-2008,"Toldot",7,"Genesis 28:5 - 28:9",5
29-Nov-2008,"Toldot","maf","Genesis 28:7 - 28:9",3
29-Nov-2008,"Toldot","Haftara","Malachi 1:1 - 2:7",

06-Dec-2008,"Vayetzei",1,"Genesis 28:10 - 28:22",13
06-Dec-2008,"Vayetzei",2,"Genesis 29:1 - 29:17",17
06-Dec-2008,"Vayetzei",3,"Genesis 29:18 - 30:13",31
06-Dec-2008,"Vayetzei",4,"Genesis 30:14 - 30:27",14
06-Dec-2008,"Vayetzei",5,"Genesis 30:28 - 31:16",32
06-Dec-2008,"Vayetzei",6,"Genesis 31:17 - 31:42",26
06-Dec-2008,"Vayetzei",7,"Genesis 31:43 - 32:3",15
06-Dec-2008,"Vayetzei","maf","Genesis 32:1 - 32:3",3
06-Dec-2008,"Vayetzei","Haftara","Hosea 12:13 - 14:10",

13-Dec-2008,"Vayishlach",1,"Genesis 32:4 - 32:13",10
13-Dec-2008,"Vayishlach",2,"Genesis 32:14 - 32:30",17
13-Dec-2008,"Vayishlach",3,"Genesis 32:31 - 33:5",8
13-Dec-2008,"Vayishlach",4,"Genesis 33:6 - 33:20",15
13-Dec-2008,"Vayishlach",5,"Genesis 34:1 - 35:11",42
13-Dec-2008,"Vayishlach",6,"Genesis 35:12 - 36:19",37
13-Dec-2008,"Vayishlach",7,"Genesis 36:20 - 36:43",24
13-Dec-2008,"Vayishlach","maf","Genesis 36:40 - 36:43",4
13-Dec-2008,"Vayishlach","Haftara","Obadiah 1:1 - 1:21",

20-Dec-2008,"Vayeshev",1,"Genesis 37:1 - 37:11",11
20-Dec-2008,"Vayeshev",2,"Genesis 37:12 - 37:22",11
20-Dec-2008,"Vayeshev",3,"Genesis 37:23 - 37:36",14
20-Dec-2008,"Vayeshev",4,"Genesis 38:1 - 38:30",30
20-Dec-2008,"Vayeshev",5,"Genesis 39:1 - 39:6",6
20-Dec-2008,"Vayeshev",6,"Genesis 39:7 - 39:23",17
20-Dec-2008,"Vayeshev",7,"Genesis 40:1 - 40:23",23
20-Dec-2008,"Vayeshev","maf","Genesis 40:20 - 40:23",4
20-Dec-2008,"Vayeshev","Haftara","Amos 2:6 - 3:8",

27-Dec-2008,"Miketz",1,"Genesis 41:1 - 41:14",14
27-Dec-2008,"Miketz",2,"Genesis 41:15 - 41:38",24
27-Dec-2008,"Miketz",3,"Genesis 41:39 - 41:52",14
27-Dec-2008,"Miketz",4,"Genesis 41:53 - 42:18",23
27-Dec-2008,"Miketz",5,"Genesis 42:19 - 43:15",35
27-Dec-2008,"Miketz",6,"Genesis 43:16 - 43:29",14
27-Dec-2008,"Miketz",7,"Genesis 43:30 - 44:17",22
27-Dec-2008,"Miketz","maf","Numbers 28:1 - 28:15 (Shabbat Rosh Chodesh Chanukah - Day 6)",
27-Dec-2008,"Miketz","Haftara","Zechariah 2:14-4:7 (Shabbat Rosh Chodesh Chanukah)",

03-Jan-2009,"Vayigash",1,"Genesis 44:18 - 44:30",13
03-Jan-2009,"Vayigash",2,"Genesis 44:31 - 45:7",11
03-Jan-2009,"Vayigash",3,"Genesis 45:8 - 45:18",11
03-Jan-2009,"Vayigash",4,"Genesis 45:19 - 45:27",9
03-Jan-2009,"Vayigash",5,"Genesis 45:28 - 46:27",28
03-Jan-2009,"Vayigash",6,"Genesis 46:28 - 47:10",17
03-Jan-2009,"Vayigash",7,"Genesis 47:11 - 47:27",17
03-Jan-2009,"Vayigash","maf","Genesis 47:25 - 47:27",3
03-Jan-2009,"Vayigash","Haftara","Ezekiel 37:15 - 37:28",

10-Jan-2009,"Vayechi",1,"Genesis 47:28 - 48:9",13
10-Jan-2009,"Vayechi",2,"Genesis 48:10 - 48:16",7
10-Jan-2009,"Vayechi",3,"Genesis 48:17 - 48:22",6
10-Jan-2009,"Vayechi",4,"Genesis 49:1 - 49:18",18
10-Jan-2009,"Vayechi",5,"Genesis 49:19 - 49:26",8
10-Jan-2009,"Vayechi",6,"Genesis 49:27 - 50:20",27
10-Jan-2009,"Vayechi",7,"Genesis 50:21 - 50:26",6
10-Jan-2009,"Vayechi","maf","Genesis 50:23 - 50:26",4
10-Jan-2009,"Vayechi","Haftara","I Kings 2:1 - 2:12",

17-Jan-2009,"Shemot",1,"Exodus 1:1 - 1:17",17
17-Jan-2009,"Shemot",2,"Exodus 1:18 - 2:10",15
17-Jan-2009,"Shemot",3,"Exodus 2:11 - 2:25",15
17-Jan-2009,"Shemot",4,"Exodus 3:1 - 3:15",15
17-Jan-2009,"Shemot",5,"Exodus 3:16 - 4:17",24
17-Jan-2009,"Shemot",6,"Exodus 4:18 - 4:31",14
17-Jan-2009,"Shemot",7,"Exodus 5:1 - 6:1",24
17-Jan-2009,"Shemot","maf","Exodus 5:22 - 6:1",3
17-Jan-2009,"Shemot","Haftara","Isaiah 27:6 - 28:13; 29:22 - 29:23",

24-Jan-2009,"Vaera",1,"Exodus 6:2 - 6:13",12
24-Jan-2009,"Vaera",2,"Exodus 6:14 - 6:28",15
24-Jan-2009,"Vaera",3,"Exodus 6:29 - 7:7",9
24-Jan-2009,"Vaera",4,"Exodus 7:8 - 8:6",28
24-Jan-2009,"Vaera",5,"Exodus 8:7 - 8:18",12
24-Jan-2009,"Vaera",6,"Exodus 8:19 - 9:16",26
24-Jan-2009,"Vaera",7,"Exodus 9:17 - 9:35",19
24-Jan-2009,"Vaera","maf","Exodus 9:33 - 9:35",3
24-Jan-2009,"Vaera","Haftara","Ezekiel 28:25 - 29:21",

31-Jan-2009,"Bo",1,"Exodus 10:1 - 10:11",11
31-Jan-2009,"Bo",2,"Exodus 10:12 - 10:23",12
31-Jan-2009,"Bo",3,"Exodus 10:24 - 11:3",9
31-Jan-2009,"Bo",4,"Exodus 11:4 - 12:20",27
31-Jan-2009,"Bo",5,"Exodus 12:21 - 12:28",8
31-Jan-2009,"Bo",6,"Exodus 12:29 - 12:51",23
31-Jan-2009,"Bo",7,"Exodus 13:1 - 13:16",16
31-Jan-2009,"Bo","maf","Exodus 13:14 - 13:16",3
31-Jan-2009,"Bo","Haftara","Jeremiah 46:13 - 46:28",

07-Feb-2009,"Beshalach",1,"Exodus 13:17 - 14:8",14
07-Feb-2009,"Beshalach",2,"Exodus 14:9 - 14:14",6
07-Feb-2009,"Beshalach",3,"Exodus 14:15 - 14:25",11
07-Feb-2009,"Beshalach",4,"Exodus 14:26 - 15:26",32
07-Feb-2009,"Beshalach",5,"Exodus 15:27 - 16:10",11
07-Feb-2009,"Beshalach",6,"Exodus 16:11 - 16:36",26
07-Feb-2009,"Beshalach",7,"Exodus 17:1 - 17:16",16
07-Feb-2009,"Beshalach","maf","Exodus 17:14 - 17:16",3
07-Feb-2009,"Beshalach","Haftara","Judges 4:4 - 5:31",

14-Feb-2009,"Yitro",1,"Exodus 18:1 - 18:12",12
14-Feb-2009,"Yitro",2,"Exodus 18:13 - 18:23",11
14-Feb-2009,"Yitro",3,"Exodus 18:24 - 18:27",4
14-Feb-2009,"Yitro",4,"Exodus 19:1 - 19:6",6
14-Feb-2009,"Yitro",5,"Exodus 19:7 - 19:19",13
14-Feb-2009,"Yitro",6,"Exodus 19:20 - 20:14",20
14-Feb-2009,"Yitro",7,"Exodus 20:15 - 20:23",9
14-Feb-2009,"Yitro","maf","Exodus 20:19 - 20:23",5
14-Feb-2009,"Yitro","Haftara","Isaiah 6:1 - 7:6; 9:5 - 9:6",

21-Feb-2009,"Mishpatim",1,"Exodus 21:1 - 21:19",19
21-Feb-2009,"Mishpatim",2,"Exodus 21:20 - 22:3",21
21-Feb-2009,"Mishpatim",3,"Exodus 22:4 - 22:26",23
21-Feb-2009,"Mishpatim",4,"Exodus 22:27 - 23:5",9
21-Feb-2009,"Mishpatim",5,"Exodus 23:6 - 23:19",14
21-Feb-2009,"Mishpatim",6,"Exodus 23:20 - 23:25",6
21-Feb-2009,"Mishpatim",7,"Exodus 23:26 - 24:18",26
21-Feb-2009,"Mishpatim","maf","Exodus 30:11 - 30:16 (Shabbat Shekalim)",
21-Feb-2009,"Mishpatim","Haftara","II Kings 12:1 - 12:17 (Shabbat Shekalim)",

28-Feb-2009,"Terumah",1,"Exodus 25:1 - 25:16",16
28-Feb-2009,"Terumah",2,"Exodus 25:17 - 25:30",14
28-Feb-2009,"Terumah",3,"Exodus 25:31 - 26:14",24
28-Feb-2009,"Terumah",4,"Exodus 26:15 - 26:30",16
28-Feb-2009,"Terumah",5,"Exodus 26:31 - 26:37",7
28-Feb-2009,"Terumah",6,"Exodus 27:1 - 27:8",8
28-Feb-2009,"Terumah",7,"Exodus 27:9 - 27:19",11
28-Feb-2009,"Terumah","maf","Exodus 27:17 - 27:19",3
28-Feb-2009,"Terumah","Haftara","I Kings 5:26 - 6:13",

07-Mar-2009,"Tetzaveh",1,"Exodus 27:20 - 28:12",14
07-Mar-2009,"Tetzaveh",2,"Exodus 28:13 - 28:30",18
07-Mar-2009,"Tetzaveh",3,"Exodus 28:31 - 28:43",13
07-Mar-2009,"Tetzaveh",4,"Exodus 29:1 - 29:18",18
07-Mar-2009,"Tetzaveh",5,"Exodus 29:19 - 29:37",19
07-Mar-2009,"Tetzaveh",6,"Exodus 29:38 - 29:46",9
07-Mar-2009,"Tetzaveh",7,"Exodus 30:1 - 30:10",10
07-Mar-2009,"Tetzaveh","maf","Deuteronomy 25:17 - 25:19 (Shabbat Zachor)",
07-Mar-2009,"Tetzaveh","Haftara","I Samuel 15:2 - 15:34 (Shabbat Zachor)",

14-Mar-2009,"Ki Tisa",1,"Exodus 30:11 - 31:17",45
14-Mar-2009,"Ki Tisa",2,"Exodus 31:18 - 33:11",47
14-Mar-2009,"Ki Tisa",3,"Exodus 33:12 - 33:16",5
14-Mar-2009,"Ki Tisa",4,"Exodus 33:17 - 33:23",7
14-Mar-2009,"Ki Tisa",5,"Exodus 34:1 - 34:9",9
14-Mar-2009,"Ki Tisa",6,"Exodus 34:10 - 34:26",17
14-Mar-2009,"Ki Tisa",7,"Exodus 34:27 - 34:35",9
14-Mar-2009,"Ki Tisa","maf","Numbers 19:1 - 19:22 (Shabbat Parah)",
14-Mar-2009,"Ki Tisa","Haftara","Ezekiel 36:16 - 36:38 (Shabbat Parah)",

21-Mar-2009,"Vayakhel-Pekudei",1,"Exodus 35:1 - 35:29",29
21-Mar-2009,"Vayakhel-Pekudei",2,"Exodus 35:30 - 37:16",60
21-Mar-2009,"Vayakhel-Pekudei",3,"Exodus 37:17 - 37:29",13
21-Mar-2009,"Vayakhel-Pekudei",4,"Exodus 38:1 - 39:1",32
21-Mar-2009,"Vayakhel-Pekudei",5,"Exodus 39:2 - 39:21",20
21-Mar-2009,"Vayakhel-Pekudei",6,"Exodus 39:22 - 39:43",22
21-Mar-2009,"Vayakhel-Pekudei",7,"Exodus 40:1 - 40:38",38
21-Mar-2009,"Vayakhel-Pekudei","maf","Exodus 12:1 - 12:20 (Shabbat HaChodesh)",
21-Mar-2009,"Vayakhel-Pekudei","Haftara","Ezekiel 45:16 - 46:18 (Shabbat HaChodesh)",

28-Mar-2009,"Vayikra",1,"Leviticus 1:1 - 1:13",13
28-Mar-2009,"Vayikra",2,"Leviticus 1:14 - 2:6",10
28-Mar-2009,"Vayikra",3,"Leviticus 2:7 - 2:16",10
28-Mar-2009,"Vayikra",4,"Leviticus 3:1 - 3:17",17
28-Mar-2009,"Vayikra",5,"Leviticus 4:1 - 4:26",26
28-Mar-2009,"Vayikra",6,"Leviticus 4:27 - 5:10",19
28-Mar-2009,"Vayikra",7,"Leviticus 5:11 - 5:26",16
28-Mar-2009,"Vayikra","maf","Leviticus 5:24 - 5:26",3
28-Mar-2009,"Vayikra","Haftara","Isaiah 43:21 - 44:23",

04-Apr-2009,"Tzav",1,"Leviticus 6:1 - 6:11",11
04-Apr-2009,"Tzav",2,"Leviticus 6:12 - 7:10",22
04-Apr-2009,"Tzav",3,"Leviticus 7:11 - 7:38",28
04-Apr-2009,"Tzav",4,"Leviticus 8:1 - 8:13",13
04-Apr-2009,"Tzav",5,"Leviticus 8:14 - 8:21",8
04-Apr-2009,"Tzav",6,"Leviticus 8:22 - 8:29",8
04-Apr-2009,"Tzav",7,"Leviticus 8:30 - 8:36",7
04-Apr-2009,"Tzav","maf","Leviticus 8:33 - 8:36",4
04-Apr-2009,"Tzav","Haftara","Malachi 3:4 - 3:24 (Shabbat HaGadol)",

18-Apr-2009,"Shmini",1,"Leviticus 9:1 - 9:16",16
18-Apr-2009,"Shmini",2,"Leviticus 9:17 - 9:23",7
18-Apr-2009,"Shmini",3,"Leviticus 9:24 - 10:11",12
18-Apr-2009,"Shmini",4,"Leviticus 10:12 - 10:15",4
18-Apr-2009,"Shmini",5,"Leviticus 10:16 - 10:20",5
18-Apr-2009,"Shmini",6,"Leviticus 11:1 - 11:32",32
18-Apr-2009,"Shmini",7,"Leviticus 11:33 - 11:47",15
18-Apr-2009,"Shmini","maf","Leviticus 11:45 - 11:47",3
18-Apr-2009,"Shmini","Haftara","II Samuel 6:1 - 7:17",

25-Apr-2009,"Tazria-Metzora",1,"Leviticus 12:1 - 13:23",31
25-Apr-2009,"Tazria-Metzora",2,"Leviticus 13:24 - 13:39",16
25-Apr-2009,"Tazria-Metzora",3,"Leviticus 13:40 - 13:54",15
25-Apr-2009,"Tazria-Metzora",4,"Leviticus 13:55 - 14:20",25
25-Apr-2009,"Tazria-Metzora",5,"Leviticus 14:21 - 14:32",12
25-Apr-2009,"Tazria-Metzora",6,"Leviticus 14:33 - 15:15",40
25-Apr-2009,"Tazria-Metzora",7,"Leviticus 15:16 - 15:33",18
25-Apr-2009,"Tazria-Metzora","maf","Numbers 28:9 - 28:15 (Shabbat Rosh Chodesh)",
25-Apr-2009,"Tazria-Metzora","Haftara","Isaiah 66:1 - 66:24 (Shabbat Rosh Chodesh)",

02-May-2009,"Achrei Mot-Kedoshim",1,"Leviticus 16:1 - 16:24",24
02-May-2009,"Achrei Mot-Kedoshim",2,"Leviticus 16:25 - 17:7",17
02-May-2009,"Achrei Mot-Kedoshim",3,"Leviticus 17:8 - 18:21",30
02-May-2009,"Achrei Mot-Kedoshim",4,"Leviticus 18:22 - 19:14",23
02-May-2009,"Achrei Mot-Kedoshim",5,"Leviticus 19:15 - 19:32",18
02-May-2009,"Achrei Mot-Kedoshim",6,"Leviticus 19:33 - 20:7",12
02-May-2009,"Achrei Mot-Kedoshim",7,"Leviticus 20:8 - 20:27",20
02-May-2009,"Achrei Mot-Kedoshim","Haftara","Amos 9:7 - 9:15",

09-May-2009,"Emor",1,"Leviticus 21:1 - 21:15",15
09-May-2009,"Emor",2,"Leviticus 21:16 - 22:16",25
09-May-2009,"Emor",3,"Leviticus 22:17 - 22:33",17
09-May-2009,"Emor",4,"Leviticus 23:1 - 23:22",22
09-May-2009,"Emor",5,"Leviticus 23:23 - 23:32",10
09-May-2009,"Emor",6,"Leviticus 23:33 - 23:44",12
09-May-2009,"Emor",7,"Leviticus 24:1 - 24:23",23
09-May-2009,"Emor","maf","Leviticus 24:21 - 24:23",3
09-May-2009,"Emor","Haftara","Ezekiel 44:15 - 44:31",

16-May-2009,"Behar-Bechukotai",1,"Leviticus 25:1 - 25:18",18
16-May-2009,"Behar-Bechukotai",2,"Leviticus 25:19 - 25:28",10
16-May-2009,"Behar-Bechukotai",3,"Leviticus 25:29 - 25:38",10
16-May-2009,"Behar-Bechukotai",4,"Leviticus 25:39 - 26:9",26
16-May-2009,"Behar-Bechukotai",5,"Leviticus 26:10 - 26:46",37
16-May-2009,"Behar-Bechukotai",6,"Leviticus 27:1 - 27:15",15
16-May-2009,"Behar-Bechukotai",7,"Leviticus 27:16 - 27:34",19
16-May-2009,"Behar-Bechukotai","Haftara","Jeremiah 16:19 - 17:14",

23-May-2009,"Bamidbar",1,"Numbers 1:1 - 1:19",19
23-May-2009,"Bamidbar",2,"Numbers 1:20 - 1:54",35
23-May-2009,"Bamidbar",3,"Numbers 2:1 - 2:34",34
23-May-2009,"Bamidbar",4,"Numbers 3:1 - 3:13",13
23-May-2009,"Bamidbar",5,"Numbers 3:14 - 3:39",26
23-May-2009,"Bamidbar",6,"Numbers 3:40 - 3:51",12
23-May-2009,"Bamidbar",7,"Numbers 4:1 - 4:20",20
23-May-2009,"Bamidbar","maf","Numbers 4:17 - 4:20",4
23-May-2009,"Bamidbar","Haftara","I Samuel 20:18 - 20:42 (Shabbat Machar Chodesh)",

06-Jun-2009,"Nasso",1,"Numbers 4:21 - 4:37",17
06-Jun-2009,"Nasso",2,"Numbers 4:38 - 4:49",12
06-Jun-2009,"Nasso",3,"Numbers 5:1 - 5:10",10
06-Jun-2009,"Nasso",4,"Numbers 5:11 - 6:27",48
06-Jun-2009,"Nasso",5,"Numbers 7:1 - 7:41",41
06-Jun-2009,"Nasso",6,"Numbers 7:42 - 7:71",30
06-Jun-2009,"Nasso",7,"Numbers 7:72 - 7:89",18
06-Jun-2009,"Nasso","maf","Numbers 7:87 - 7:89",3
06-Jun-2009,"Nasso","Haftara","Judges 13:2 - 13:25",

13-Jun-2009,"Beha'alotcha",1,"Numbers 8:1 - 8:14",14
13-Jun-2009,"Beha'alotcha",2,"Numbers 8:15 - 8:26",12
13-Jun-2009,"Beha'alotcha",3,"Numbers 9:1 - 9:14",14
13-Jun-2009,"Beha'alotcha",4,"Numbers 9:15 - 10:10",19
13-Jun-2009,"Beha'alotcha",5,"Numbers 10:11 - 10:34",24
13-Jun-2009,"Beha'alotcha",6,"Numbers 10:35 - 11:29",31
13-Jun-2009,"Beha'alotcha",7,"Numbers 11:30 - 12:16",22
13-Jun-2009,"Beha'alotcha","maf","Numbers 12:14 - 12:16",3
13-Jun-2009,"Beha'alotcha","Haftara","Zechariah 2:14 - 4:7",

20-Jun-2009,"Sh'lach",1,"Numbers 13:1 - 13:20",20
20-Jun-2009,"Sh'lach",2,"Numbers 13:21 - 14:7",20
20-Jun-2009,"Sh'lach",3,"Numbers 14:8 - 14:25",18
20-Jun-2009,"Sh'lach",4,"Numbers 14:26 - 15:7",27
20-Jun-2009,"Sh'lach",5,"Numbers 15:8 - 15:16",9
20-Jun-2009,"Sh'lach",6,"Numbers 15:17 - 15:26",10
20-Jun-2009,"Sh'lach",7,"Numbers 15:27 - 15:41",15
20-Jun-2009,"Sh'lach","maf","Numbers 15:37 - 15:41",5
20-Jun-2009,"Sh'lach","Haftara","Joshua 2:1 - 2:24",

27-Jun-2009,"Korach",1,"Numbers 16:1 - 16:13",13
27-Jun-2009,"Korach",2,"Numbers 16:14 - 16:19",6
27-Jun-2009,"Korach",3,"Numbers 16:20 - 17:8",24
27-Jun-2009,"Korach",4,"Numbers 17:9 - 17:15",7
27-Jun-2009,"Korach",5,"Numbers 17:16 - 17:24",9
27-Jun-2009,"Korach",6,"Numbers 17:25 - 18:20",24
27-Jun-2009,"Korach",7,"Numbers 18:21 - 18:32",12
27-Jun-2009,"Korach","maf","Numbers 18:30 - 18:32",3
27-Jun-2009,"Korach","Haftara","I Samuel 11:14 - 12:22",

04-Jul-2009,"Chukat-Balak",1,"Numbers 19:1 - 20:6",28
04-Jul-2009,"Chukat-Balak",2,"Numbers 20:7 - 20:21",15
04-Jul-2009,"Chukat-Balak",3,"Numbers 20:22 - 21:20",28
04-Jul-2009,"Chukat-Balak",4,"Numbers 21:21 - 22:12",27
04-Jul-2009,"Chukat-Balak",5,"Numbers 22:13 - 22:38",26
04-Jul-2009,"Chukat-Balak",6,"Numbers 22:39 - 23:26",29
04-Jul-2009,"Chukat-Balak",7,"Numbers 23:27 - 25:9",38
04-Jul-2009,"Chukat-Balak","Haftara","Micah 5:6 - 6:8",

11-Jul-2009,"Pinchas",1,"Numbers 25:10 - 26:4",13
11-Jul-2009,"Pinchas",2,"Numbers 26:5 - 26:51",47
11-Jul-2009,"Pinchas",3,"Numbers 26:52 - 27:5",19
11-Jul-2009,"Pinchas",4,"Numbers 27:6 - 27:23",18
11-Jul-2009,"Pinchas",5,"Numbers 28:1 - 28:15",15
11-Jul-2009,"Pinchas",6,"Numbers 28:16 - 29:11",27
11-Jul-2009,"Pinchas",7,"Numbers 29:12 - 30:1",29
11-Jul-2009,"Pinchas","maf","Numbers 29:35 - 30:1",6
11-Jul-2009,"Pinchas","Haftara","I Kings 18:46 - 19:21",

18-Jul-2009,"Matot-Masei",1,"Numbers 30:2 - 31:12",28
18-Jul-2009,"Matot-Masei",2,"Numbers 31:13 - 31:54",42
18-Jul-2009,"Matot-Masei",3,"Numbers 32:1 - 32:19",19
18-Jul-2009,"Matot-Masei",4,"Numbers 32:20 - 33:49",72
18-Jul-2009,"Matot-Masei",5,"Numbers 33:50 - 34:15",22
18-Jul-2009,"Matot-Masei",6,"Numbers 34:16 - 35:8",22
18-Jul-2009,"Matot-Masei",7,"Numbers 35:9 - 36:13",39
18-Jul-2009,"Matot-Masei","Haftara","Jeremiah 2:4 - 28; 3:4",

25-Jul-2009,"Devarim",1,"Deuteronomy 1:1 - 1:11",11
25-Jul-2009,"Devarim",2,"Deuteronomy 1:12 - 1:21",10
25-Jul-2009,"Devarim",3,"Deuteronomy 1:22 - 1:38",17
25-Jul-2009,"Devarim",4,"Deuteronomy 1:39 - 2:1",9
25-Jul-2009,"Devarim",5,"Deuteronomy 2:2 - 2:30",29
25-Jul-2009,"Devarim",6,"Deuteronomy 2:31 - 3:14",21
25-Jul-2009,"Devarim",7,"Deuteronomy 3:15 - 3:22",8
25-Jul-2009,"Devarim","maf","Deuteronomy 3:20 - 3:22",3
25-Jul-2009,"Devarim","Haftara","Isaiah 1:1 - 1:27",

01-Aug-2009,"Vaetchanan",1,"Deuteronomy 3:23 - 4:4",11
01-Aug-2009,"Vaetchanan",2,"Deuteronomy 4:5 - 4:40",36
01-Aug-2009,"Vaetchanan",3,"Deuteronomy 4:41 - 4:49",9
01-Aug-2009,"Vaetchanan",4,"Deuteronomy 5:1 - 5:18",18
01-Aug-2009,"Vaetchanan",5,"Deuteronomy 5:19 - 6:3",15
01-Aug-2009,"Vaetchanan",6,"Deuteronomy 6:4 - 6:25",22
01-Aug-2009,"Vaetchanan",7,"Deuteronomy 7:1 - 7:11",11
01-Aug-2009,"Vaetchanan","maf","Deuteronomy 7:9 - 7:11",3
01-Aug-2009,"Vaetchanan","Haftara","Isaiah 40:1 - 40:26",

08-Aug-2009,"Eikev",1,"Deuteronomy 7:12 - 8:10",25
